URL	Duration	Cateogry of exercise	Intensity	Focus	Group v individual	Instructor M/F	Class M/F/A (A=both)	Provider	Instructor	Rights to use? 
https://www.youtube.com/watch?v=3kfJ0qQnJ6Q&list=PLCzr8bZECkgA6afYKSUgOibXNxH947EtH&index=5	15	BODYCOMBAT INVINCIBLE	High	cardio	Group	F/M	A	Bodycombat invincible workouts		
https://www.youtube.com/watch?v=SgFxZtoFHro&list=PLCzr8bZECkgA6afYKSUgOibXNxH947EtH&index=7	13	BODYCOMBAT INVINCIBLE	High	cardio	Group	F/M	A	Bodycombat invincible workouts		
https://www.youtube.com/watch?v=61pEe__e1es&list=PLCzr8bZECkgA6afYKSUgOibXNxH947EtH&index=8	16	BODYCOMBAT INVINCIBLE	Low/Medium	cardio	Instructor	F	-	Bodycombat invincible workouts		
https://www.youtube.com/watch?v=TfxUYsnWvvQ	20	BODYCOMBAT INVINCIBLE	High	cardio	Group	F/M	A	Bodycombat invincible workouts		
https://www.youtube.com/watch?v=dAcvgYI_i-k	18	BODYCOMBAT INVINCIBLE	High	cardio	Group	F/M	A	Bodycombat invincible workouts		
https://www.youtube.com/watch?v=pGF6YZ3zAIA&t=125s	32	BODYCOMBAT INVINCIBLE	High	cardio/strength	Group	F/M	A	Bodycombat invincible workouts		
https://www.youtube.com/watch?v=ugfTpsJ525s	29	BODYCOMBAT INVINCIBLE	High	cardio/strength	Group	F/M	A	Bodycombat invincible workouts		
https://www.youtube.com/watch?v=HPytZF6SZ98	35	BODYCOMBAT INVINCIBLE	High	cardio/strength	Group	F/M	A	Bodycombat invincible workouts		
https://www.youtube.com/watch?v=pGF6YZ3zAIA&t=125s	32	BODYCOMBAT INVINCIBLE	High	cardio/strength	Group	F/M	A	Bodycombat invincible workouts		
https://www.youtube.com/watch?v=H0c-4nZjIWQ	29	Low impact workout for beginners w stretchings	Low	cardio	Group	M	F	Body Project	Daniel Bartlett	
https://www.youtube.com/watch?v=gC_L9qAHVJ8	30	Beginner low impact	Low	cardio	Group	M	A	Body Project	Daniel Bartlett	
https://www.youtube.com/watch?v=1zPerI8lXs4	30	HIIT interval cardio workout	High	cardio	Duo	M/F	-	Body Project	Daniel & Alex	
https://www.youtube.com/watch?v=zXK6oXwRr1U	25	Interval cardio workout	High	cardio	Group	M	A	Body Project	Daniel Bartlett	
https://www.youtube.com/watch?v=XN0VG-CiRgg	25	Tabata Challenge	High	cardio/strength	Instructor	M	-	Body Project	Daniel Bartlett	
https://www.youtube.com/watch?v=lxwhP0LTrOY	20	Non-stop muscles and heart rate pumping workout for every intermediate/advanced	High	cardio/strength	Instructor	M	-	Jordan Yeoh Fitness	Jordan Yeoh	
https://www.youtube.com/watch?v=6Nh0zpbZv_Q	30	Workout For Beginners w Warm Up & Stretchings	Medium	cardio/strength	Instructor	M	-	Jordan Yeoh Fitness	Jordan Yeoh	
https://www.youtube.com/watch?v=-Fb6WF-A8mg	15	Abs Workout Routine	High	strength	Instructor	M	-	Jordan Yeoh Fitness	Jordan Yeoh	
https://www.youtube.com/watch?v=TbFM0j_b_Yg	20	Progressive full body workout routine for intermediate	High	cardio/strength	Instructor	M	-	Jordan Yeoh Fitness	Jordan Yeoh	
https://www.youtube.com/watch?v=41hy01h3_WI	20	Progressive full body workout routine for beginner	Medium	cardio/strength	Instructor	M	-	Jordan Yeoh Fitness	Jordan Yeoh	
https://www.youtube.com/watch?v=GDe_MwdCTI0	10	Intensive Fat Burning	High	cardio/strength	Instructor	M	-	Jordan Yeoh Fitness	Jordan Yeoh	
https://www.youtube.com/watch?v=YUEs8yQ-MBs	9	Progressive body weight routine	High	cardio/strength	Instructor	M	-	Jordan Yeoh Fitness	Jordan Yeoh	
https://www.youtube.com/watch?v=nb7PgeF14so	24	HIIT Tabata Workout	High	cardio/strength	Instructor	M	-	Sickfitbootcamp		
https://www.youtube.com/watch?v=t1lkITovhnM	15	Tabata HIIT Bodyweight Workout	Medium	cardio/strength	Instructor	M	-	Sickfitbootcamp		
https://www.youtube.com/watch?v=96X4fYKe3QY	17	Full Body workout	Medium	strength	Duo	M	-	School of Calisthenics		
https://www.youtube.com/watch?v=sun3DOU99gg	15	Beginner Full Body Calisthenics Workout	Medium	strength	Instructor	F	-	Lucy Lismore	Lucy Lismore	
https://www.youtube.com/watch?v=QQt77JfviKs	15	Ab Workout	Medium	strength	Instructor	F	-	BrittneBabeFitness	Brittne Babe	
